quang.nguyen@raspberrypi:~ $ ping -6 -t 1 -I wpan0 ff07::abcd -s 500
PING ff07::abcd(ff07::abcd) from fdaa:fb3:4d49:1:8a41:7df0:abb3:3811 wpan0: 500 data bytes
508 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=1 ttl=64 time=327 ms
508 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=2 ttl=64 time=408 ms
508 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=3 ttl=64 time=302 ms
508 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=3 ttl=64 time=615 ms
508 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=4 ttl=64 time=191 ms
508 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=4 ttl=64 time=233 ms
508 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=4 ttl=64 time=362 ms
508 bytes from fd31:9326:2ca1:b79e:1189:91dc:7ca5:77c7: icmp_seq=4 ttl=64 time=472 ms
508 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=5 ttl=64 time=147 ms
508 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=5 ttl=64 time=246 ms
508 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=5 ttl=64 time=475 ms
508 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=6 ttl=64 time=194 ms
508 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=6 ttl=64 time=234 ms
508 bytes from fd31:9326:2ca1:b79e:1189:91dc:7ca5:77c7: icmp_seq=6 ttl=64 time=432 ms
508 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=7 ttl=64 time=232 ms
508 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=7 ttl=64 time=293 ms
508 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=7 ttl=64 time=500 ms
508 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=8 ttl=64 time=164 ms
508 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=8 ttl=64 time=289 ms
508 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=8 ttl=64 time=538 ms
508 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=12 ttl=64 time=125 ms
508 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=12 ttl=64 time=341 ms
508 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=13 ttl=64 time=82.7 ms
508 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=13 ttl=64 time=167 ms
508 bytes from fd31:9326:2ca1:b79e:1189:91dc:7ca5:77c7: icmp_seq=13 ttl=64 time=365 ms
508 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=14 ttl=64 time=185 ms
508 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=14 ttl=64 time=236 ms
508 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=14 ttl=64 time=344 ms
508 bytes from fd31:9326:2ca1:b79e:1189:91dc:7ca5:77c7: icmp_seq=14 ttl=64 time=461 ms
508 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=15 ttl=64 time=387 ms
508 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=16 ttl=64 time=209 ms
508 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=16 ttl=64 time=246 ms
508 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=16 ttl=64 time=515 ms
508 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=17 ttl=64 time=190 ms
508 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=17 ttl=64 time=237 ms
508 bytes from fd31:9326:2ca1:b79e:1189:91dc:7ca5:77c7: icmp_seq=17 ttl=64 time=528 ms
508 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=18 ttl=64 time=1119 ms
508 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=20 ttl=64 time=184 ms
508 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=21 ttl=64 time=277 ms
508 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=22 ttl=64 time=139 ms
508 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=22 ttl=64 time=201 ms
508 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=22 ttl=64 time=314 ms
508 bytes from fd31:9326:2ca1:b79e:1189:91dc:7ca5:77c7: icmp_seq=22 ttl=64 time=461 ms
508 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=23 ttl=64 time=119 ms
508 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=24 ttl=64 time=345 ms
508 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=25 ttl=64 time=243 ms
508 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=25 ttl=64 time=361 ms
508 bytes from fd31:9326:2ca1:b79e:1189:91dc:7ca5:77c7: icmp_seq=25 ttl=64 time=479 ms
508 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=26 ttl=64 time=239 ms
508 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=29 ttl=64 time=133 ms
508 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=30 ttl=64 time=255 ms
508 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=30 ttl=64 time=273 ms
508 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=30 ttl=64 time=609 ms
508 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=31 ttl=64 time=242 ms
508 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=31 ttl=64 time=288 ms
508 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=33 ttl=64 time=190 ms
508 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=33 ttl=64 time=361 ms
508 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=34 ttl=64 time=319 ms
508 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=34 ttl=64 time=325 ms
508 bytes from fd31:9326:2ca1:b79e:1189:91dc:7ca5:77c7: icmp_seq=34 ttl=64 time=533 ms
508 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=35 ttl=64 time=291 ms
508 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=35 ttl=64 time=524 ms
508 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=36 ttl=64 time=327 ms
508 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=37 ttl=64 time=263 ms
508 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=37 ttl=64 time=446 ms
508 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=38 ttl=64 time=221 ms
508 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=38 ttl=64 time=328 ms
508 bytes from fd31:9326:2ca1:b79e:1189:91dc:7ca5:77c7: icmp_seq=38 ttl=64 time=452 ms
508 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=39 ttl=64 time=223 ms
508 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=39 ttl=64 time=258 ms
508 bytes from fd31:9326:2ca1:b79e:1189:91dc:7ca5:77c7: icmp_seq=39 ttl=64 time=454 ms
508 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=39 ttl=64 time=681 ms
508 bytes from fd31:9326:2ca1:b79e:1189:91dc:7ca5:77c7: icmp_seq=40 ttl=64 time=322 ms
508 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=41 ttl=64 time=355 ms
508 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=42 ttl=64 time=251 ms
508 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=42 ttl=64 time=326 ms
