quang.nguyen@raspberrypi:~ $ ping -6 -t 1 -I wpan0 ff07::abcd -s 1000
PING ff07::abcd(ff07::abcd) from fdaa:fb3:4d49:1:8a41:7df0:abb3:3811 wpan0: 1000 data bytes
1008 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=1 ttl=64 time=608 ms
1008 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=2 ttl=64 time=223 ms
1008 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=3 ttl=64 time=219 ms
1008 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=4 ttl=64 time=506 ms
1008 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=5 ttl=64 time=496 ms
1008 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=6 ttl=64 time=563 ms
1008 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=9 ttl=64 time=215 ms
1008 bytes from fd31:9326:2ca1:b79e:1189:91dc:7ca5:77c7: icmp_seq=10 ttl=64 time=747 ms
1008 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=11 ttl=64 time=408 ms
1008 bytes from fd31:9326:2ca1:b79e:1189:91dc:7ca5:77c7: icmp_seq=11 ttl=64 time=463 ms
1008 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=11 ttl=64 time=977 ms
1008 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=12 ttl=64 time=513 ms
1008 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=13 ttl=64 time=449 ms
1008 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=13 ttl=64 time=763 ms
1008 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=14 ttl=64 time=458 ms
1008 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=14 ttl=64 time=716 ms
1008 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=15 ttl=64 time=313 ms
1008 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=15 ttl=64 time=525 ms
1008 bytes from fd31:9326:2ca1:b79e:1189:91dc:7ca5:77c7: icmp_seq=15 ttl=64 time=725 ms
1008 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=16 ttl=64 time=580 ms
1008 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=22 ttl=64 time=463 ms
1008 bytes from fd31:9326:2ca1:b79e:1189:91dc:7ca5:77c7: icmp_seq=22 ttl=64 time=679 ms
1008 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=23 ttl=64 time=363 ms
1008 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=23 ttl=64 time=582 ms
1008 bytes from fd31:9326:2ca1:b79e:1189:91dc:7ca5:77c7: icmp_seq=23 ttl=64 time=782 ms
1008 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=24 ttl=64 time=503 ms
1008 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=25 ttl=64 time=457 ms
1008 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=26 ttl=64 time=420 ms
1008 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=27 ttl=64 time=515 ms
1008 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=27 ttl=64 time=592 ms
1008 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=28 ttl=64 time=434 ms
1008 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=29 ttl=64 time=623 ms
1008 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=30 ttl=64 time=473 ms
1008 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=30 ttl=64 time=553 ms
1008 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=30 ttl=64 time=778 ms
1008 bytes from fd31:9326:2ca1:b79e:1189:91dc:7ca5:77c7: icmp_seq=30 ttl=64 time=999 ms
1008 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=32 ttl=64 time=504 ms
1008 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=33 ttl=64 time=243 ms
1008 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=34 ttl=64 time=531 ms
1008 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=34 ttl=64 time=556 ms
1008 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=34 ttl=64 time=788 ms
1008 bytes from fd31:9326:2ca1:b79e:1189:91dc:7ca5:77c7: icmp_seq=34 ttl=64 time=1011 ms
1008 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=36 ttl=64 time=483 ms
1008 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=36 ttl=64 time=538 ms
1008 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=36 ttl=64 time=788 ms
1008 bytes from fd31:9326:2ca1:b79e:1189:91dc:7ca5:77c7: icmp_seq=36 ttl=64 time=994 ms
1008 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=38 ttl=64 time=445 ms
